ds,LADONAS,LAVRIO5,KREMASTA,ILARIONAS,KARDIA4,ALIVERI5,ASOMATA,KORINTHOS_POWER,MEGALOPOLI4,EDESSAIOS,KARDIA2,KARDIA3,PLATANOVRYSI,AMYNDEO1,POLYFYTO,PLASTIRAS,PROTERGIA_CC,SFIKIA,MELITI,P_AOOU,POURNARI2,AG_DIMITRIOS3,MEGALOPOLI_V,KASTRAKI,AGRAS,LAVRIO4,MEGALOPOLI3,STRATOS1,ELPEDISON_THISVI,THESAVROS,ALOUMINIO,AG_DIMITRIOS4,ELPEDISON_THESS,AG_DIMITRIOS2,POURNARI1,AG_DIMITRIOS5,KARDIA1,AMYNDEO2,KOMOTINI,AG_DIMITRIOS1,HERON_CC
2017-01-01,60.0,0.0,288.0,59.0,280.0,417.0,108.0,433.0,211.0,19.0,261.0,280.0,110.0,237.0,375.0,114.0,432.0,315.0,289.0,210.0,33.0,280.0,0.0,320.0,50.0,542.0,230.0,150.0,410.0,354.0,334.0,0.0,400.0,247.0,300.0,333.0,229.0,237.0,476.0,0.0,422.0
2017-01-02,60.0,0.0,288.0,59.0,280.0,417.0,108.0,433.0,211.0,19.0,261.0,280.0,110.0,237.0,375.0,114.0,432.0,315.0,289.0,210.0,33.0,280.0,0.0,320.0,50.0,355.0,230.0,150.0,410.0,354.0,334.0,0.0,400.0,247.0,300.0,333.0,229.0,237.0,474.0,0.0,422.0
2017-01-03,60.0,0.0,288.0,59.0,280.0,417.0,108.0,433.0,211.0,19.0,261.0,280.0,110.0,237.0,375.0,114.0,432.0,315.0,289.0,210.0,33.0,280.0,0.0,320.0,50.0,538.0,230.0,150.0,410.0,354.0,334.0,0.0,400.0,247.0,300.0,333.0,229.0,0.0,471.0,0.0,422.0
2017-01-04,60.0,0.0,288.0,59.0,280.0,417.0,108.0,433.0,211.0,19.0,261.0,280.0,110.0,237.0,375.0,114.0,432.0,315.0,0.0,210.0,33.0,280.0,410.0,320.0,50.0,355.0,230.0,150.0,410.0,354.0,334.0,0.0,400.0,247.0,300.0,333.0,229.0,255.0,471.0,0.0,422.0
2017-01-05,60.0,0.0,288.0,59.0,280.0,417.0,108.0,433.0,211.0,19.0,261.0,280.0,110.0,255.0,375.0,114.0,432.0,315.0,0.0,210.0,33.0,280.0,0.0,320.0,50.0,355.0,221.0,150.0,410.0,354.0,334.0,0.0,400.0,274.0,300.0,333.0,261.0,255.0,471.0,0.0,422.0
2017-01-06,60.0,0.0,288.0,59.0,280.0,417.0,108.0,433.0,211.0,19.0,261.0,280.0,110.0,255.0,375.0,114.0,432.0,315.0,289.0,210.0,33.0,280.0,410.0,320.0,50.0,542.0,221.0,150.0,410.0,354.0,334.0,0.0,400.0,274.0,300.0,333.0,261.0,255.0,468.0,0.0,422.0
2017-01-07,60.0,0.0,288.0,59.0,280.0,417.0,108.0,433.0,211.0,19.0,275.0,280.0,110.0,237.0,375.0,114.0,432.0,315.0,289.0,210.0,33.0,280.0,410.0,320.0,50.0,542.0,221.0,150.0,410.0,354.0,334.0,0.0,400.0,274.0,300.0,274.0,261.0,237.0,476.0,0.0,422.0
2017-01-08,60.0,0.0,288.0,59.0,280.0,417.0,108.0,433.0,211.0,19.0,275.0,280.0,110.0,237.0,375.0,114.0,432.0,315.0,289.0,210.0,33.0,280.0,410.0,320.0,50.0,544.0,204.0,150.0,410.0,354.0,334.0,0.0,400.0,274.0,300.0,274.0,261.0,237.0,476.0,0.0,422.0
2017-01-09,60.0,0.0,288.0,59.0,0.0,0.0,108.0,433.0,0.0,19.0,275.0,280.0,110.0,237.0,375.0,114.0,432.0,315.0,289.0,210.0,33.0,280.0,410.0,320.0,50.0,544.0,221.0,150.0,410.0,354.0,334.0,0.0,400.0,274.0,300.0,274.0,261.0,237.0,476.0,0.0,422.0
2017-01-10,56.0,0.0,282.0,59.0,0.0,417.0,108.0,433.0,211.0,19.0,275.0,280.0,110.0,237.0,375.0,114.0,432.0,315.0,289.0,210.0,34.0,280.0,600.0,320.0,50.0,544.0,221.0,150.0,410.0,348.0,334.0,0.0,400.0,274.0,258.0,274.0,261.0,237.0,476.0,0.0,422.0
2017-01-11,56.0,0.0,282.0,59.0,0.0,417.0,108.0,433.0,211.0,19.0,247.0,280.0,110.0,0.0,375.0,114.0,432.0,315.0,289.0,210.0,34.0,280.0,600.0,320.0,50.0,544.0,221.0,150.0,410.0,348.0,334.0,0.0,400.0,274.0,258.0,247.0,247.0,237.0,463.0,0.0,422.0
2017-01-12,56.0,0.0,282.0,59.0,0.0,417.0,108.0,433.0,211.0,19.0,247.0,280.0,110.0,237.0,375.0,114.0,432.0,315.0,289.0,210.0,33.0,280.0,600.0,320.0,50.0,544.0,221.0,150.0,410.0,384.0,334.0,0.0,400.0,274.0,300.0,247.0,247.0,237.0,464.0,0.0,422.0
2017-01-13,56.0,0.0,282.0,59.0,0.0,417.0,108.0,433.0,211.0,19.0,247.0,280.0,110.0,237.0,375.0,114.0,432.0,315.0,289.0,210.0,33.0,280.0,600.0,320.0,50.0,542.0,221.0,150.0,410.0,384.0,334.0,0.0,400.0,274.0,270.0,247.0,247.0,237.0,464.0,0.0,422.0
2017-01-14,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,261.0,280.0,110.0,237.0,375.0,114.0,432.0,315.0,289.0,210.0,33.0,280.0,400.0,320.0,50.0,542.0,221.0,150.0,410.0,384.0,334.0,0.0,400.0,274.0,270.0,247.0,261.0,237.0,462.0,0.0,422.0
2017-01-15,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,261.0,280.0,110.0,237.0,375.0,76.0,432.0,315.0,0.0,210.0,33.0,280.0,400.0,320.0,50.0,542.0,195.0,150.0,410.0,384.0,334.0,0.0,400.0,274.0,270.0,238.0,261.0,237.0,468.0,0.0,422.0
2017-01-16,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,261.0,280.0,110.0,237.0,375.0,76.0,432.0,315.0,289.0,210.0,33.0,280.0,600.0,320.0,50.0,542.0,195.0,150.0,410.0,384.0,334.0,0.0,400.0,274.0,270.0,238.0,261.0,237.0,468.0,0.0,422.0
2017-01-17,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,261.0,280.0,110.0,0.0,375.0,76.0,432.0,315.0,0.0,210.0,33.0,280.0,500.0,320.0,50.0,542.0,154.0,150.0,410.0,384.0,334.0,0.0,400.0,274.0,167.0,238.0,261.0,237.0,472.0,0.0,422.0
2017-01-18,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,229.0,265.0,110.0,237.0,375.0,120.0,432.0,315.0,289.0,210.0,33.0,280.0,600.0,320.0,50.0,539.0,154.0,150.0,410.0,384.0,334.0,0.0,400.0,274.0,167.0,238.0,229.0,237.0,472.0,0.0,422.0
2017-01-19,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,229.0,265.0,110.0,0.0,375.0,120.0,432.0,315.0,289.0,210.0,33.0,280.0,600.0,320.0,50.0,539.0,161.0,150.0,410.0,384.0,334.0,0.0,400.0,274.0,249.0,238.0,229.0,237.0,464.0,0.0,422.0
2017-01-20,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,229.0,251.0,110.0,237.0,375.0,120.0,432.0,315.0,284.0,210.0,33.0,280.0,600.0,320.0,50.0,351.0,154.0,150.0,410.0,384.0,334.0,0.0,400.0,274.0,249.0,238.0,229.0,237.0,464.0,0.0,422.0
2017-01-21,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,229.0,228.0,110.0,237.0,375.0,120.0,432.0,315.0,284.0,210.0,33.0,274.0,410.0,320.0,50.0,542.0,154.0,150.0,410.0,384.0,334.0,0.0,400.0,270.0,249.0,238.0,229.0,237.0,476.0,0.0,422.0
2017-01-22,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,229.0,228.0,110.0,237.0,375.0,120.0,432.0,315.0,284.0,210.0,33.0,270.0,420.0,320.0,50.0,541.0,154.0,150.0,0.0,384.0,334.0,0.0,400.0,270.0,249.0,274.0,229.0,237.0,476.0,0.0,422.0
2017-01-23,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,229.0,228.0,110.0,237.0,375.0,120.0,432.0,315.0,284.0,210.0,33.0,270.0,420.0,320.0,50.0,541.0,154.0,150.0,410.0,384.0,334.0,0.0,400.0,270.0,249.0,274.0,229.0,237.0,476.0,0.0,422.0
2017-01-24,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,229.0,228.0,110.0,237.0,375.0,114.0,432.0,315.0,284.0,210.0,33.0,270.0,420.0,320.0,50.0,542.0,154.0,150.0,410.0,384.0,334.0,0.0,400.0,220.0,261.0,0.0,229.0,237.0,474.0,0.0,422.0
2017-01-25,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,201.0,247.0,110.0,246.0,375.0,114.0,432.0,315.0,284.0,210.0,33.0,270.0,420.0,320.0,30.0,540.0,154.0,150.0,0.0,384.0,334.0,0.0,400.0,229.0,261.0,335.0,229.0,246.0,466.0,0.0,422.0
2017-01-26,56.0,0.0,282.0,55.0,0.0,417.0,108.0,433.0,211.0,19.0,229.0,247.0,110.0,255.0,375.0,114.0,432.0,315.0,284.0,210.0,33.0,265.0,420.0,320.0,25.0,540.0,154.0,150.0,410.0,384.0,334.0,0.0,400.0,265.0,261.0,335.0,229.0,255.0,466.0,0.0,422.0
2017-01-27,56.0,0.0,282.0,54.0,0.0,417.0,108.0,433.0,211.0,19.0,229.0,260.0,110.0,273.0,375.0,114.0,432.0,315.0,284.0,210.0,33.0,270.0,420.0,320.0,25.0,540.0,154.0,150.0,410.0,384.0,334.0,0.0,400.0,270.0,261.0,333.0,229.0,273.0,472.0,0.0,422.0
