ds,Exports [MW]
2017-01-01 00:00:00,112.0
2017-01-01 01:00:00,5.0
2017-01-01 02:00:00,5.0
2017-01-01 03:00:00,5.0
2017-01-01 04:00:00,5.0
2017-01-01 05:00:00,5.0
2017-01-01 06:00:00,5.0
2017-01-01 07:00:00,5.0
2017-01-01 08:00:00,5.0
2017-01-01 09:00:00,5.0
2017-01-01 10:00:00,5.0
2017-01-01 11:00:00,5.0
2017-01-01 12:00:00,5.0
2017-01-01 13:00:00,5.0
2017-01-01 14:00:00,5.0
2017-01-01 15:00:00,5.0
2017-01-01 16:00:00,25.0
2017-01-01 17:00:00,123.0
2017-01-01 18:00:00,143.0
2017-01-01 19:00:00,143.0
2017-01-01 20:00:00,128.0
2017-01-01 21:00:00,67.0
2017-01-01 22:00:00,15.0
2017-01-01 23:00:00,5.0
2017-01-02 00:00:00,12.0
2017-01-02 01:00:00,5.0
2017-01-02 02:00:00,5.0
2017-01-02 03:00:00,5.0
2017-01-02 04:00:00,5.0
2017-01-02 05:00:00,5.0
2017-01-02 06:00:00,196.0
2017-01-02 07:00:00,110.0
2017-01-02 08:00:00,87.0
2017-01-02 09:00:00,131.0
2017-01-02 10:00:00,131.0
2017-01-02 11:00:00,116.0
2017-01-02 12:00:00,116.0
2017-01-02 13:00:00,118.0
2017-01-02 14:00:00,119.0
2017-01-02 15:00:00,79.0
2017-01-02 16:00:00,98.0
2017-01-02 17:00:00,532.219
2017-01-02 18:00:00,307.166
2017-01-02 19:00:00,188.175
2017-01-02 20:00:00,197.868
2017-01-02 21:00:00,48.0
2017-01-02 22:00:00,88.0
2017-01-02 23:00:00,66.0
2017-01-03 00:00:00,5.0
2017-01-03 01:00:00,6.0
2017-01-03 02:00:00,6.0
2017-01-03 03:00:00,5.0
2017-01-03 04:00:00,5.0
2017-01-03 05:00:00,5.0
2017-01-03 06:00:00,6.0
2017-01-03 07:00:00,493.0
2017-01-03 08:00:00,741.0
2017-01-03 09:00:00,934.0
2017-01-03 10:00:00,1034.0
2017-01-03 11:00:00,1063.0
2017-01-03 12:00:00,1151.0
2017-01-03 13:00:00,1125.0
2017-01-03 14:00:00,1048.0
2017-01-03 15:00:00,959.0
2017-01-03 16:00:00,568.838
2017-01-03 17:00:00,421.225
2017-01-03 18:00:00,247.354
2017-01-03 19:00:00,197.486
2017-01-03 20:00:00,372.872
2017-01-03 21:00:00,461.0
2017-01-03 22:00:00,544.0
2017-01-03 23:00:00,431.0
2017-01-04 00:00:00,406.0
2017-01-04 01:00:00,6.0
2017-01-04 02:00:00,5.0
2017-01-04 03:00:00,5.0
2017-01-04 04:00:00,5.0
2017-01-04 05:00:00,5.0
2017-01-04 06:00:00,76.0
2017-01-04 07:00:00,182.0
2017-01-04 08:00:00,657.0
2017-01-04 09:00:00,763.0
2017-01-04 10:00:00,597.0
2017-01-04 11:00:00,457.0
2017-01-04 12:00:00,433.0
2017-01-04 13:00:00,482.0
2017-01-04 14:00:00,660.0
2017-01-04 15:00:00,642.989
2017-01-04 16:00:00,376.368
2017-01-04 17:00:00,598.0
2017-01-04 18:00:00,660.0
2017-01-04 19:00:00,700.0
2017-01-04 20:00:00,701.0
2017-01-04 21:00:00,524.0
2017-01-04 22:00:00,652.0
2017-01-04 23:00:00,259.0
2017-01-05 00:00:00,326.0
2017-01-05 01:00:00,5.0
2017-01-05 02:00:00,5.0
2017-01-05 03:00:00,5.0
2017-01-05 04:00:00,5.0
2017-01-05 05:00:00,5.0
2017-01-05 06:00:00,22.0
2017-01-05 07:00:00,361.0
2017-01-05 08:00:00,909.0
2017-01-05 09:00:00,1158.0
2017-01-05 10:00:00,1158.0
2017-01-05 11:00:00,1157.0
2017-01-05 12:00:00,1158.0
2017-01-05 13:00:00,1158.0
2017-01-05 14:00:00,1158.0
2017-01-05 15:00:00,1157.0
2017-01-05 16:00:00,903.0
2017-01-05 17:00:00,1019.0
2017-01-05 18:00:00,944.0
2017-01-05 19:00:00,878.0
2017-01-05 20:00:00,849.0
2017-01-05 21:00:00,527.0
2017-01-05 22:00:00,247.0
2017-01-05 23:00:00,181.0
2017-01-06 00:00:00,46.0
2017-01-06 01:00:00,5.0
