ds,Imports [MW]
2017-01-01 00:00:00,-794.0
2017-01-01 01:00:00,-925.0
2017-01-01 02:00:00,-925.0
2017-01-01 03:00:00,-960.0
2017-01-01 04:00:00,-960.0
2017-01-01 05:00:00,-960.0
2017-01-01 06:00:00,-960.0
2017-01-01 07:00:00,-960.0
2017-01-01 08:00:00,-869.0
2017-01-01 09:00:00,-812.0
2017-01-01 10:00:00,-940.0
2017-01-01 11:00:00,-930.0
2017-01-01 12:00:00,-925.0
2017-01-01 13:00:00,-925.0
2017-01-01 14:00:00,-931.0
2017-01-01 15:00:00,-945.0
2017-01-01 16:00:00,-890.0
2017-01-01 17:00:00,-575.0
2017-01-01 18:00:00,-540.0
2017-01-01 19:00:00,-575.0
2017-01-01 20:00:00,-575.0
2017-01-01 21:00:00,-865.0
2017-01-01 22:00:00,-878.0
2017-01-01 23:00:00,-960.0
2017-01-02 00:00:00,-725.0
2017-01-02 01:00:00,-935.0
2017-01-02 02:00:00,-955.0
2017-01-02 03:00:00,-930.0
2017-01-02 04:00:00,-955.0
2017-01-02 05:00:00,-955.0
2017-01-02 06:00:00,-925.0
2017-01-02 07:00:00,-925.0
2017-01-02 08:00:00,-474.0
2017-01-02 09:00:00,-454.0
2017-01-02 10:00:00,-434.0
2017-01-02 11:00:00,-454.0
2017-01-02 12:00:00,-454.0
2017-01-02 13:00:00,-373.0
2017-01-02 14:00:00,-373.0
2017-01-02 15:00:00,-413.0
2017-01-02 16:00:00,-384.0
2017-01-02 17:00:00,-374.0
2017-01-02 18:00:00,-374.0
2017-01-02 19:00:00,-374.0
2017-01-02 20:00:00,-374.0
2017-01-02 21:00:00,-403.0
2017-01-02 22:00:00,-546.0
2017-01-02 23:00:00,-583.0
2017-01-03 00:00:00,-848.0
2017-01-03 01:00:00,-765.0
2017-01-03 02:00:00,-780.0
2017-01-03 03:00:00,-955.0
2017-01-03 04:00:00,-955.0
2017-01-03 05:00:00,-955.0
2017-01-03 06:00:00,-719.0
2017-01-03 07:00:00,-514.0
2017-01-03 08:00:00,-316.0
2017-01-03 09:00:00,-288.0
2017-01-03 10:00:00,-288.0
2017-01-03 11:00:00,-288.0
2017-01-03 12:00:00,-291.0
2017-01-03 13:00:00,-291.0
2017-01-03 14:00:00,-291.0
2017-01-03 15:00:00,-301.0
2017-01-03 16:00:00,-303.0
2017-01-03 17:00:00,-313.0
2017-01-03 18:00:00,-341.0
2017-01-03 19:00:00,-346.0
2017-01-03 20:00:00,-348.0
2017-01-03 21:00:00,-352.0
2017-01-03 22:00:00,-496.0
2017-01-03 23:00:00,-597.0
2017-01-04 00:00:00,-667.0
2017-01-04 01:00:00,-668.0
2017-01-04 02:00:00,-892.342
2017-01-04 03:00:00,-920.0
2017-01-04 04:00:00,-933.0
2017-01-04 05:00:00,-933.0
2017-01-04 06:00:00,-660.0
2017-01-04 07:00:00,-351.0
2017-01-04 08:00:00,-333.0
2017-01-04 09:00:00,-308.0
2017-01-04 10:00:00,-308.0
2017-01-04 11:00:00,-308.0
2017-01-04 12:00:00,-318.0
2017-01-04 13:00:00,-318.0
2017-01-04 14:00:00,-318.0
2017-01-04 15:00:00,-318.0
2017-01-04 16:00:00,-356.0
2017-01-04 17:00:00,-373.0
2017-01-04 18:00:00,-458.0
2017-01-04 19:00:00,-458.0
2017-01-04 20:00:00,-453.0
2017-01-04 21:00:00,-385.0
2017-01-04 22:00:00,-386.0
2017-01-04 23:00:00,-469.0
2017-01-05 00:00:00,-574.0
2017-01-05 01:00:00,-676.0
2017-01-05 02:00:00,-872.0
2017-01-05 03:00:00,-881.0
2017-01-05 04:00:00,-882.0
2017-01-05 05:00:00,-882.0
2017-01-05 06:00:00,-798.0
2017-01-05 07:00:00,-456.0
2017-01-05 08:00:00,-403.0
2017-01-05 09:00:00,-275.0
2017-01-05 10:00:00,-267.0
2017-01-05 11:00:00,-267.0
2017-01-05 12:00:00,-267.0
2017-01-05 13:00:00,-275.0
2017-01-05 14:00:00,-275.0
2017-01-05 15:00:00,-279.0
2017-01-05 16:00:00,-308.0
2017-01-05 17:00:00,-308.0
2017-01-05 18:00:00,-308.0
2017-01-05 19:00:00,-308.0
2017-01-05 20:00:00,-334.0
2017-01-05 21:00:00,-379.0
2017-01-05 22:00:00,-386.0
2017-01-05 23:00:00,-631.0
2017-01-06 00:00:00,-664.0
2017-01-06 01:00:00,-647.0
2017-01-06 02:00:00,-662.0
2017-01-06 03:00:00,-734.755
2017-01-06 04:00:00,-760.4
2017-01-06 05:00:00,-751.778
2017-01-06 06:00:00,-597.0
2017-01-06 07:00:00,-449.0
2017-01-06 08:00:00,-447.0
2017-01-06 09:00:00,-322.0
2017-01-06 10:00:00,-321.0
2017-01-06 11:00:00,-321.0
2017-01-06 12:00:00,-323.0
2017-01-06 13:00:00,-323.0
2017-01-06 14:00:00,-334.0
2017-01-06 15:00:00,-337.0
2017-01-06 16:00:00,-364.0
2017-01-06 17:00:00,-352.0
2017-01-06 18:00:00,-375.0
2017-01-06 19:00:00,-381.0
2017-01-06 20:00:00,-381.0
2017-01-06 21:00:00,-401.0
2017-01-06 22:00:00,-415.0
2017-01-06 23:00:00,-682.0
2017-01-07 00:00:00,-699.0
2017-01-07 01:00:00,-729.0
2017-01-07 02:00:00,-759.0
2017-01-07 03:00:00,-898.0
2017-01-07 04:00:00,-917.0
2017-01-07 05:00:00,-878.0
2017-01-07 06:00:00,-888.0
2017-01-07 07:00:00,-591.0
2017-01-07 08:00:00,-413.0
2017-01-07 09:00:00,-382.0
2017-01-07 10:00:00,-382.0
2017-01-07 11:00:00,-387.0
2017-01-07 12:00:00,-387.0
2017-01-07 13:00:00,-402.0
2017-01-07 14:00:00,-402.0
2017-01-07 15:00:00,-412.0
2017-01-07 16:00:00,-403.0
2017-01-07 17:00:00,-392.0
2017-01-07 18:00:00,-389.0
2017-01-07 19:00:00,-399.0
2017-01-07 20:00:00,-407.0
2017-01-07 21:00:00,-422.0
2017-01-07 22:00:00,-508.0
2017-01-07 23:00:00,-597.0
2017-01-08 00:00:00,-800.0
2017-01-08 01:00:00,-804.0
2017-01-08 02:00:00,-804.0
2017-01-08 03:00:00,-794.0
2017-01-08 04:00:00,-784.0
2017-01-08 05:00:00,-887.0
2017-01-08 06:00:00,-888.0
2017-01-08 07:00:00,-858.0
2017-01-08 08:00:00,-793.0
2017-01-08 09:00:00,-522.0
2017-01-08 10:00:00,-397.0
2017-01-08 11:00:00,-407.0
2017-01-08 12:00:00,-402.0
2017-01-08 13:00:00,-452.0
2017-01-08 14:00:00,-547.0
2017-01-08 15:00:00,-557.0
2017-01-08 16:00:00,-434.0
2017-01-08 17:00:00,-432.0
2017-01-08 18:00:00,-404.0
2017-01-08 19:00:00,-404.0
2017-01-08 20:00:00,-392.0
2017-01-08 21:00:00,-494.0
2017-01-08 22:00:00,-452.0
2017-01-08 23:00:00,-594.0
2017-01-09 00:00:00,-654.0
2017-01-09 01:00:00,-575.0
2017-01-09 02:00:00,-590.0
2017-01-09 03:00:00,-611.0
2017-01-09 04:00:00,-674.0
2017-01-09 05:00:00,-639.0
2017-01-09 06:00:00,-519.0
2017-01-09 07:00:00,-419.0
2017-01-09 08:00:00,-399.0
2017-01-09 09:00:00,-239.0
2017-01-09 10:00:00,-236.0
2017-01-09 11:00:00,-236.0
2017-01-09 12:00:00,-241.0
2017-01-09 13:00:00,-243.0
2017-01-09 14:00:00,-250.0
2017-01-09 15:00:00,-251.0
2017-01-09 16:00:00,-244.0
2017-01-09 17:00:00,-294.0
2017-01-09 18:00:00,-337.0
2017-01-09 19:00:00,-337.0
2017-01-09 20:00:00,-312.0
2017-01-09 21:00:00,-302.0
2017-01-09 22:00:00,-282.0
2017-01-09 23:00:00,-484.0
2017-01-10 00:00:00,-470.0
2017-01-10 01:00:00,-553.0
2017-01-10 02:00:00,-569.0
2017-01-10 03:00:00,-569.0
2017-01-10 04:00:00,-569.0
2017-01-10 05:00:00,-544.0
2017-01-10 06:00:00,-502.0
2017-01-10 07:00:00,-349.0
2017-01-10 08:00:00,-349.0
2017-01-10 09:00:00,-336.0
2017-01-10 10:00:00,-336.0
2017-01-10 11:00:00,-336.0
2017-01-10 12:00:00,-336.0
2017-01-10 13:00:00,-336.0
2017-01-10 14:00:00,-336.0
2017-01-10 15:00:00,-339.0
2017-01-10 16:00:00,-339.0
2017-01-10 17:00:00,-322.0
2017-01-10 18:00:00,-366.0
2017-01-10 19:00:00,-429.102
2017-01-10 20:00:00,-381.0
2017-01-10 21:00:00,-356.0
2017-01-10 22:00:00,-376.0
2017-01-10 23:00:00,-499.0
2017-01-11 00:00:00,-504.0
2017-01-11 01:00:00,-441.0
2017-01-11 02:00:00,-441.0
2017-01-11 03:00:00,-447.0
2017-01-11 04:00:00,-447.0
2017-01-11 05:00:00,-442.0
2017-01-11 06:00:00,-409.0
2017-01-11 07:00:00,-199.0
2017-01-11 08:00:00,-181.0
2017-01-11 09:00:00,-176.0
2017-01-11 10:00:00,-176.0
2017-01-11 11:00:00,-176.0
2017-01-11 12:00:00,-176.0
2017-01-11 13:00:00,-186.0
2017-01-11 14:00:00,-186.0
2017-01-11 15:00:00,-186.0
2017-01-11 16:00:00,-201.0
2017-01-11 17:00:00,-201.0
2017-01-11 18:00:00,-256.0
2017-01-11 19:00:00,-256.0
2017-01-11 20:00:00,-246.0
2017-01-11 21:00:00,-204.0
2017-01-11 22:00:00,-196.0
2017-01-11 23:00:00,-211.0
2017-01-12 00:00:00,-221.0
2017-01-12 01:00:00,-488.0
2017-01-12 02:00:00,-503.0
2017-01-12 03:00:00,-503.0
2017-01-12 04:00:00,-503.0
2017-01-12 05:00:00,-480.0
2017-01-12 06:00:00,-322.0
2017-01-12 07:00:00,-278.0
2017-01-12 08:00:00,-227.0
2017-01-12 09:00:00,-222.0
2017-01-12 10:00:00,-212.0
2017-01-12 11:00:00,-222.0
2017-01-12 12:00:00,-222.0
2017-01-12 13:00:00,-212.0
2017-01-12 14:00:00,-212.0
2017-01-12 15:00:00,-212.0
2017-01-12 16:00:00,-222.0
2017-01-12 17:00:00,-242.0
2017-01-12 18:00:00,-252.0
2017-01-12 19:00:00,-255.0
2017-01-12 20:00:00,-284.0
2017-01-12 21:00:00,-361.0
2017-01-12 22:00:00,-360.0
2017-01-12 23:00:00,-370.0
2017-01-13 00:00:00,-365.0
2017-01-13 01:00:00,-132.0
2017-01-13 02:00:00,-172.0
2017-01-13 03:00:00,-172.0
2017-01-13 04:00:00,-172.0
2017-01-13 05:00:00,-154.0
2017-01-13 06:00:00,-137.0
2017-01-13 07:00:00,-71.0
2017-01-13 08:00:00,-91.0
2017-01-13 09:00:00,-91.0
2017-01-13 10:00:00,-91.0
2017-01-13 11:00:00,-91.0
2017-01-13 12:00:00,-91.0
2017-01-13 13:00:00,-91.0
2017-01-13 14:00:00,-91.0
2017-01-13 15:00:00,-91.0
2017-01-13 16:00:00,-96.0
2017-01-13 17:00:00,-96.0
2017-01-13 18:00:00,-101.0
2017-01-13 19:00:00,-101.0
2017-01-13 20:00:00,-101.0
2017-01-13 21:00:00,-101.0
2017-01-13 22:00:00,-91.0
2017-01-13 23:00:00,-91.0
2017-01-14 00:00:00,-91.0
2017-01-14 01:00:00,-222.0
