ds,RES generation [MW]
2017-01-01 00:00:00,593.0
2017-01-01 01:00:00,573.0
2017-01-01 02:00:00,563.0
2017-01-01 03:00:00,544.0
2017-01-01 04:00:00,542.0
2017-01-01 05:00:00,522.0
2017-01-01 06:00:00,502.0
2017-01-01 07:00:00,480.0
2017-01-01 08:00:00,661.0
2017-01-01 09:00:00,959.0
2017-01-01 10:00:00,1261.0
2017-01-01 11:00:00,1456.0
2017-01-01 12:00:00,1502.0
2017-01-01 13:00:00,1443.0
2017-01-01 14:00:00,1240.0
2017-01-01 15:00:00,894.0
2017-01-01 16:00:00,498.0
2017-01-01 17:00:00,282.0
2017-01-01 18:00:00,282.0
2017-01-01 19:00:00,292.0
2017-01-01 20:00:00,312.0
2017-01-01 21:00:00,322.0
2017-01-01 22:00:00,343.0
2017-01-01 23:00:00,364.0
2017-01-02 00:00:00,343.0
2017-01-02 01:00:00,353.0
2017-01-02 02:00:00,383.0
2017-01-02 03:00:00,384.0
2017-01-02 04:00:00,392.0
2017-01-02 05:00:00,392.0
2017-01-02 06:00:00,392.0
2017-01-02 07:00:00,392.0
2017-01-02 08:00:00,625.0
2017-01-02 09:00:00,1024.0
2017-01-02 10:00:00,1415.0
2017-01-02 11:00:00,1673.0
2017-01-02 12:00:00,1782.0
2017-01-02 13:00:00,1767.0
2017-01-02 14:00:00,1594.0
2017-01-02 15:00:00,1233.0
2017-01-02 16:00:00,829.0
2017-01-02 17:00:00,593.0
2017-01-02 18:00:00,592.0
2017-01-02 19:00:00,612.0
2017-01-02 20:00:00,642.0
2017-01-02 21:00:00,652.0
2017-01-02 22:00:00,673.0
2017-01-02 23:00:00,674.0
2017-01-03 00:00:00,665.0
2017-01-03 01:00:00,673.0
2017-01-03 02:00:00,664.0
2017-01-03 03:00:00,644.0
2017-01-03 04:00:00,613.0
2017-01-03 05:00:00,583.0
2017-01-03 06:00:00,553.0
2017-01-03 07:00:00,533.0
2017-01-03 08:00:00,757.0
2017-01-03 09:00:00,1133.0
2017-01-03 10:00:00,1519.0
2017-01-03 11:00:00,1768.0
2017-01-03 12:00:00,1867.0
2017-01-03 13:00:00,1819.0
2017-01-03 14:00:00,1601.0
2017-01-03 15:00:00,1188.0
2017-01-03 16:00:00,763.0
2017-01-03 17:00:00,502.0
2017-01-03 18:00:00,484.0
2017-01-03 19:00:00,483.0
2017-01-03 20:00:00,483.0
2017-01-03 21:00:00,483.0
2017-01-03 22:00:00,463.0
2017-01-03 23:00:00,474.0
2017-01-04 00:00:00,425.0
2017-01-04 01:00:00,413.0
2017-01-04 02:00:00,404.0
2017-01-04 03:00:00,384.0
2017-01-04 04:00:00,373.0
2017-01-04 05:00:00,353.0
2017-01-04 06:00:00,353.0
2017-01-04 07:00:00,370.0
2017-01-04 08:00:00,565.0
2017-01-04 09:00:00,881.0
2017-01-04 10:00:00,1208.0
2017-01-04 11:00:00,1476.0
2017-01-04 12:00:00,1619.0
2017-01-04 13:00:00,1642.0
2017-01-04 14:00:00,1507.0
2017-01-04 15:00:00,1204.0
2017-01-04 16:00:00,869.0
2017-01-04 17:00:00,672.0
2017-01-04 18:00:00,694.0
2017-01-04 19:00:00,723.0
2017-01-04 20:00:00,763.0
2017-01-04 21:00:00,783.0
2017-01-04 22:00:00,813.0
2017-01-04 23:00:00,824.0
2017-01-05 00:00:00,860.0
2017-01-05 01:00:00,860.0
2017-01-05 02:00:00,870.0
2017-01-05 03:00:00,870.0
2017-01-05 04:00:00,879.0
2017-01-05 05:00:00,869.0
2017-01-05 06:00:00,869.0
2017-01-05 07:00:00,874.0
2017-01-05 08:00:00,1066.0
2017-01-05 09:00:00,1365.0
2017-01-05 10:00:00,1678.0
2017-01-05 11:00:00,1923.0
2017-01-05 12:00:00,2051.0
2017-01-05 13:00:00,2019.0
2017-01-05 14:00:00,1855.0
2017-01-05 15:00:00,1618.0
2017-01-05 16:00:00,1388.0
2017-01-05 17:00:00,1274.0
2017-01-05 18:00:00,1308.0
2017-01-05 19:00:00,1348.0
2017-01-05 20:00:00,1379.0
2017-01-05 21:00:00,1399.0
