ds,Total load [MW]
2017-01-01 00:00:00,6396.843027279524
2017-01-01 01:00:00,5955.056256456464
2017-01-01 02:00:00,5810.569102202209
2017-01-01 03:00:00,5493.110020505748
2017-01-01 04:00:00,5217.596076448212
2017-01-01 05:00:00,5102.6747516482355
2017-01-01 06:00:00,5168.425465361795
2017-01-01 07:00:00,5224.393980717851
2017-01-01 08:00:00,5471.457809758046
2017-01-01 09:00:00,6094.788090594764
2017-01-01 10:00:00,6829.980938628908
2017-01-01 11:00:00,7418.417748226224
2017-01-01 12:00:00,7535.9135998644615
2017-01-01 13:00:00,7230.163700924264
2017-01-01 14:00:00,6648.470310022036
2017-01-01 15:00:00,6527.430975189895
2017-01-01 16:00:00,6594.220384503029
2017-01-01 17:00:00,6688.558833927164
2017-01-01 18:00:00,7212.6953684712325
2017-01-01 19:00:00,7302.792250160784
2017-01-01 20:00:00,7212.154846087892
2017-01-01 21:00:00,6995.1215243133265
2017-01-01 22:00:00,6572.1723927447765
2017-01-01 23:00:00,6310.621624424646
2017-01-02 00:00:00,5661.802313044756
2017-01-02 01:00:00,5194.785830900002
2017-01-02 02:00:00,5208.603255700008
2017-01-02 03:00:00,5023.48595381379
2017-01-02 04:00:00,4884.039290855039
2017-01-02 05:00:00,4942.968037704049
2017-01-02 06:00:00,5274.22978638659
2017-01-02 07:00:00,5708.177669712187
2017-01-02 08:00:00,6164.664339600012
2017-01-02 09:00:00,6655.73315079649
2017-01-02 10:00:00,6952.508695921482
2017-01-02 11:00:00,7114.988907942321
2017-01-02 12:00:00,7205.53165149462
2017-01-02 13:00:00,7183.333631586062
2017-01-02 14:00:00,6927.25847887249
2017-01-02 15:00:00,7015.359593110537
2017-01-02 16:00:00,7039.169776700012
2017-01-02 17:00:00,7252.8806852000025
2017-01-02 18:00:00,7758.933712300013
2017-01-02 19:00:00,7897.925703200009
2017-01-02 20:00:00,7821.231998200006
2017-01-02 21:00:00,7559.000336000005
2017-01-02 22:00:00,7079.270215379927
2017-01-02 23:00:00,6647.552604100009
2017-01-03 00:00:00,5862.219199696594
2017-01-03 01:00:00,5345.919647433274
2017-01-03 02:00:00,5289.536399125818
2017-01-03 03:00:00,5135.625304047015
2017-01-03 04:00:00,5019.776667790803
2017-01-03 05:00:00,5077.1596788946645
2017-01-03 06:00:00,5420.297184596601
2017-01-03 07:00:00,6162.532455500007
2017-01-03 08:00:00,6696.545369100005
2017-01-03 09:00:00,7243.672977500005
2017-01-03 10:00:00,7545.071880260753
2017-01-03 11:00:00,7629.587718145881
2017-01-03 12:00:00,7624.257361557602
2017-01-03 13:00:00,7516.415102000016
2017-01-03 14:00:00,7272.255850700012
2017-01-03 15:00:00,7363.460816500012
2017-01-03 16:00:00,7396.2618391000115
2017-01-03 17:00:00,7653.074803100008
2017-01-03 18:00:00,8165.944992100014
2017-01-03 19:00:00,8219.813609400013
2017-01-03 20:00:00,8046.429256900019
2017-01-03 21:00:00,7609.941198567615
2017-01-03 22:00:00,7001.941715100006
2017-01-03 23:00:00,6506.241275200007
2017-01-04 00:00:00,5670.196748416429
2017-01-04 01:00:00,5136.720549794532
2017-01-04 02:00:00,5078.342265000007
2017-01-04 03:00:00,4945.2660141353945
2017-01-04 04:00:00,4856.869066363979
2017-01-04 05:00:00,4909.626415165126
2017-01-04 06:00:00,5282.186935725134
2017-01-04 07:00:00,5892.753722000009
2017-01-04 08:00:00,6510.186613934228
2017-01-04 09:00:00,6982.888146098567
2017-01-04 10:00:00,7126.325416891111
